title,company,location,salary,updated,snippet,link
Lead Data Engineer - Palantir & PySpark (MUST),VBeyond,"Jersey City, NJ",,2026-06-19T00:00:00.0000000,"&nbsp;...Lead <b>Data Engineer </b>- Palantir & PySpark (Lead Data engineer role where experience should be on both hands on and leading the team.)
 
 
 Candidate preference  : Should be in the United States and from East coast. 
 
 
 Experience  : 8-15 Years 
 
 
 Location...&nbsp;",https://jooble.org/jdp/3880718508983273198
Lead Data Engineer,VBeyond,"Jersey City, NJ",,2026-06-20T00:00:00.0000000,"&nbsp;...Job Title: Lead <b>Data Engineer </b>   Location: Jersey City   
 Type: Contract 
 
  Key Skills:  Snowflake, SQL, Python, Spark, AWS- Glue, Big Data Concepts    Responsibilities:    
~ Lead the design, development, and implementation of data solutions using AWS and Snowflake...&nbsp;",https://jooble.org/jdp/1489191453864484608
Job Title-Lead Data Engineer,VBeyond,"Raleigh, NC",$100k - $110k,2026-06-16T00:00:00.0000000,"&nbsp;...Job Title-Lead <b>Data Engineer </b>
 
 
 Skill- Data Architecture and Modeling 
 
 
 Minimum Experience-6 - 12 Years 
 
 
 Qualification-BACHELOR OF COMPUTER SCIENCE 
 
 
 Location-Raleigh, NC 
 
 
 Salary Range- $100,000-$110,000 a year   
 Lead Data Engineer...&nbsp;",https://jooble.org/jdp/-1058964952316436821
Lead Data Exchanges Developer,ACI Infotech,"Hartford, CT",,2026-06-16T00:00:00.0000000,"&nbsp;...Role:  Lead <b>Data </b>Exchanges Developer / Architect 
 Duration: 1+ Years Contract ( with Posible extention) 
 Location: Hartford, CT - 06106
*************Candidate must be a US Citizen or Permanent Resident*************
 KEY SKILLS   
 An experience professional with...&nbsp;",https://jooble.org/jdp/-827697752035674263
Lead Data Engineer,Capital One Financial Corp,"McLean, VA",$179.4k - $204.7k,2026-06-16T00:00:00.0000000,"&nbsp;...Lead <b>Data Engineer </b>
 Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers...&nbsp;",https://jooble.org/jdp/5224168331767387788
Lead Data Engineer,Maintec Technologies,"New York, NY",,2026-06-17T00:00:00.0000000,"&nbsp;...Role: Lead <b>Data Engineer </b>
 
 
 Location: New York 
 
 
 Mode of Work: Onsite 
 
 
60/hour. 
 Responsibilities 
 
 
- Lead the design and implementation of a robust, scalable, and reusable data ingestion framework using Microsoft Fabric 
 
 
- Building a...&nbsp;",https://jooble.org/jdp/3826625585310204749
Lead Data Engineer,"YOBI, LLC",United States,,2026-06-16T00:00:00.0000000,"&nbsp;...company on a mission to ethically democratize the benefits of <b>data </b>and AI. 
 Since 2019, we have built one of the largest consented...&nbsp;&nbsp;...room to shape the architecture and culture from the ground up. <b>Engineers </b>here own major surface areas, build 0→1 systems in large-scale...&nbsp;",https://jooble.org/jdp/-346623058096541522
Lead Data Engineer,Piper Companies,"Fort Washington, PA",$140k - $150k,2026-06-18T00:00:00.0000000,"&nbsp;...Piper Companies  is seeking a  Lead <b>Data Engineer </b> to support a company focused on enterprise digital transformation and advanced cloudbased data modernization initiatives. This position is  hybrid  in  Ft. Washington, PA  . The Sr Data Engineer will provide strategic...&nbsp;",https://jooble.org/jdp/2134562886283782234
Lead Data Engineer,Wawa,"Media, PA",,2026-06-16T00:00:00.0000000,"&nbsp;...Job Description   
 Job Title:  Lead <b>Data Engineer </b>
 Location:  Corporate 
 Department:  Information Technology 
 
 
 Job Summary:   
 The Lead Data Engineer role designs and develops complex, scalable data solutions using data integration tools and technologies...&nbsp;",https://jooble.org/jdp/1655216237223357241
Lead Data Engineer,Exaways Corporation,"Greenfield, IN",,2026-06-16T00:00:00.0000000,"&nbsp;...Job Title: Lead <b>Data Engineer </b>
 
 
 Location: Greenfield, IN (Onsite)
 
 
 Duration: Long term contract/ FTE 
•10-15 years 
 
 
4+ years of experience in Azure Databricks with PySpark. 
 2+ years of experience in Databricks workflow & Unity catalog. 
 3+ years...&nbsp;",https://jooble.org/jdp/-6565261647214671377
MDM Lead Data Engineer,Epsilon Solutions Ltd,United States,,2026-06-16T00:00:00.0000000,"&nbsp;...Lead <b>Data Engineer </b>- Master Data Management (MDM) 
 Location: Remote, Canada 
 Job Type: Contract 
 Mandatory Skills - MDM, Databricks, Kafka, Snowflakes, GraphQL, SQL, Python, Microservices 
 Job Description: 
 We are seeking highly skilled Azure Data Engineer with...&nbsp;",https://jooble.org/jdp/8923855026896358440
Lead Data Engineer with PySpark,Infinity Outsourcing,"Charlotte, NC",,2026-06-16T00:00:00.0000000,"&nbsp;...Lead <b>Data Engineer </b>With PySpark 
 Mount Laurel Township, NJ, United States 
 Lead Data Engineer With PySpark 
 Requisition Title: Lead Data Engineer With PySpark (1 Day Onsite) 
 Locations: Mt Laurel, NJ & Charlotte, NC 
 Visa Status: GC/USC/H4 EAD 
 Client: TD Bank...&nbsp;",https://jooble.org/jdp/8471352262741834769
Lead Data Engineer,Forbes Advisor,United States,,2026-06-16T00:00:00.0000000,"&nbsp;...<b>Data Engineering </b>Lead 
 Forbes Advisor is a high-growth digital media and technology company dedicated to helping consumers make confident, informed decisions about their money, health, careers, and everyday life. We do this by combining data-driven content, rigorous...&nbsp;",https://jooble.org/jdp/-3087976306987051503
Lead Data Engineer,Red Clover HR,"East Rutherford, NJ",,2026-06-02T00:00:00.0000000,"&nbsp;...the  leading resource for cross-border solutions. 

 About the Role: 
 Reporting to the Head of Technology, the <b>Data </b>Architect / Lead Data <b>Engineer </b>will own the design, implementation, scalability, and business impact of APC’s data platform supporting a high‑volume...&nbsp;",https://jooble.org/jdp/-3659144858441883125
